Nombre,Precio
Portátil ThinkPad E16 G2 AMD Ryzen 7 16GB 512GB - Negro,4349900.0
VIVOBOOK AMD RYZEN 5-7520U SSD 2TB RAM 16GB LED 15.6 FHD,2249900.0
PORTATIL AMD RYZEN 7-7730U SSD 512GB RAM 40GB LED 14 FULL HD,2099900.0
Portátil Pavilion | Intel® Core¿ 7 | 16GB RAM | 512GB SSD Almacenamiento| Windows 11 | 14 pulgadas | 14-ek2002la| Computador portátil,4299000.0
Portátil Zenbook 14 OLED | AMD Ryzen 7 | 16GB de RAM | 1TB SSD de almacenamiento | Windows 11 |14 Pulgadas | UM3406HA-QD107W | Computador portátil,4599900.0
"Portátil V14 , Ci5 ,40 Gb Ram ,Windows 11 Pro, Disco SSD 1Tb , 14""",2990000.0
Portátil 245 G9 AMD Ryzen 3 8GB 256GB SSD 14” Windows,1059000.0
"ASPIRE INTEL CORE I3-1215U SSD 512GB RAM 24GB LED 15,6 FULL HD",1474900.0
"PAVILION AMD RYZEN 7-7730U SSD 1TB RAM 40GB LED 15,6 FULL HD",2829900.0
"E1504FA-NJ940 - AMD RYZEN 5 7520U - 16GB LPDDR5 - 1 TERA SSD - PANT 15,6"".",1869900.0
Portátil Pavilion | Intel Core i7 | 16GB RAM | 512GB SSD Almacenamiento| Windows 11 | 15.6 pulgadas | 15-eg2522la | Computador portátil,2999000.0
PORTATIL V14 G2 IJL INTEL CELERON N4500 8GB DDR4 256GB SSD PANTALLA 14 HD,960999.0
"Portatil 14-EM0014LA AMD Ryzen 5 7520U SSD 512GB DDR5 8GB Pantalla 14"" HD FreeDOS",1459900.0
PORTATIL V14 - Intel Core I7-1255U - RAM 20Gb DDR4 - 512GB SSD - 14,2679900.0
EXPERTBOOK INTEL CORE I5-1335U SSD 1TB RAM 40GB LED 14 FULL HD,2789900.0
PORTATIL INTEL CORE I5-1235U SSD 2TB RAM 40GB LED 14 HD,2759900.0
Portátil Vivobook Go 15 | Intel Core i3 | 8GB de RAM | 512GB SSD de almacenamiento | Windows 11 | 15.6 Pulgadas | E1504GA-NJ092W | Computador portátil,1399900.0
"PORTATIL HP 240 G9 INTEL CELERON N4500 8GB 256GB SSD 14"" HD",839900.0
"Portátil Latitude Intel Core i5-1235u Ram 24GB SSD 512GB 14"" Win 11 Pro",2099900.0
Portátil Vivobook Go 15 E1504FA Ryzen 5 7520u Ram 16gb PCIe 1Tb,2199000.0
"Portátil Slim Amd Ryzen 7 7730u Ram 16gb Ssd 512gb 15,6¨ Fhd",2199999.0
"Portátil 15 Intel Core i5-1235 Ram 32GB Disco SSD 1Tera 15.6"" FHD.",2269900.0
Portátil Vivobook 16 X1605VA-MB929 Inte i9-13900H RAM 24GB 1TB SSD 16,3965999.0
Portátil Vivobook 16 | Intel Core i9 | 16GB de RAM | 1TB SSD de almacenamiento | Windows 11| 16 Pulgadas | X1605VA-MB493W | Computador portátil,3899000.0
PORTATIL 14-DQ5016LA INTEL CORE I5 1235U RAM 20GB DDR4 SSD 1TB M2 14 PULGADAS FHD,2099900.0
PORTATIL AMD RYZEN 7-7730U SSD 512GB RAM 24GB LED 14 FULL HD,2099900.0
PORTATIL INTEL CORE I5-1135G7 SSD 512GB RAM 32GB LED 156 FHD,2139900.0
Portátil FHD 156 Intel i5-1235U RAM 24GB 512GB SSD Azul,2115999.0
"Portátil 15-EH3003LA AMD Ryzen 7 7730U SSD 512GB 16GB 15.6"" FHD FreeDOS Azul",2169900.0
"COIN LUMC 4000 - INTEL CELERON N4020C - 8GB LPDDR4 - 256GB SSD - PANT 14,1"" HD",819000.0
Portátil Gaming LOQ AMD Ryzen 7 24GB 512GB Nvidia GF - Gris,4449900.0
"Portátil Rysen 5 5500U RAM12GB SSD 512GB 15,6 Pulgadas Computador Portátil",1679999.0
"PORTATIL HP 15 EF2517LA AMD RYZEN 5 5500U 20GB DDR4 512GB SSD PAN15,6"" HD AZUL INDIGO",1499900.0
"Portatil IP 3 15ALC7 Amd Ryzen 5 5500U 15.6"" FHD DDR4 8GB SSD 512GB",1519000.0
"Portatil V14 G4 AMN Ryzen 5 7520U SSD 512GB 16GB 14"" FHD (RJ-45) FreeDOS Arctic Grey",1549900.0
Portatil Gamer Loq R7 7435hs 64gb Ram 1 TB SSD Gb 15.6 FHD Ips 144hz Rtx 4050 6GB Win 11.,5699900.0
PORTATIL ASPIRE INTEL CORE I7-1255U SSD 1TB RAM 24GB LED 16 FULL HD,3039900.0
Portátil E1504GA Core i3 N305 8gb 512gb 15.6 Fhd Win 11,1429000.0
"PORTATIL IdeaPad 3 Intel Core I3 1215U, SSD 512GB, DDR4 8GB, 15.6"" FHD, Lector de Huella",1479900.0
"PORTATIL V14 - AMD RYZEN 3 7320U - 16GB LPDDR5 - 512GB SSD - PANT 14"" FHD RJ45 - GREY",1429900.0
Portátil Hp Probook X360 11 G5 Ee 11.5 Touchscreen 2 En 1,1400000.0
Portatil X515ea Core I3 1115g4 8gb 512gb 15.6 W11 Home,1499000.0
Portátil ThinkBook 16 G7 Core Ultra 5 16GB 512GB,3749900.0
